Region,Customer Name,Type,Country,Priority,Budget Range,Contact Role,Decision Makers,Key Pain Points,Recommended Channels,Timeline
North America,AAA Driving Schools,Driving School Chain,USA,High,$50K-$500K,Training Director,"Director of Training, VP Operations, Procurement Manager","High operational costs (fuel, insurance, maintenance); Safety liability and insurance premiums; Pass rate improvement needs","LinkedIn, Email, Phone, Industry Trade Shows, Google Ads",Q3-Q4 2025 (Peak training season)
North America,FlightPath Training Academy,Flight Training,USA,High,$100K-$1M,Chief Training Instructor,"Chief Training Instructor, Owner, Head of Safety","Aircraft operating costs (fuel, maintenance); Weather-related training cancellations; Limited simulator availability","LinkedIn, Email, Phone, Industry Trade Shows, Google Ads",Q3-Q4 2025 (Peak training season)
North America,Schulz Truck Driving School,Cdl Training,USA,Medium,$25K-$150K,Owner/Operator,Owner,Commercial vehicle insurance costs; Federal/state compliance requirements; Safety liability,"LinkedIn, Email, Phone, Industry Trade Shows, Google Ads",Q3-Q4 2025 (Peak training season)
North America,SimRacing Canada,Simulator Shopping,Canada,Medium,$30K-$200K,Owner,"Owner, Operations Manager",Competition pressure; Customer experience requirements; Equipment upgrade needs,"LinkedIn, Email, Phone, Industry Trade Shows, Google Ads",Q3-Q4 2025 (Peak training season)
Europe,Eurofins Driving Centers,Driving School Chain,Germany,High,€50K-€300K,Training Manager,"Managing Director, Training Manager, Head of Procurement","High operational costs (fuel, insurance, maintenance); Safety liability and insurance premiums; Pass rate improvement needs","LinkedIn, Email, Trade Shows, Industry Conferences, Local Partners",Q3-Q4 2025 (Budget planning cycle)
Europe,Lufthansa Aviation Training,Flight Training,Germany,Very_High,€500K-€5M,Procurement Manager,"Procurement, Training Operations, Technical Director","Aircraft operating costs (fuel, maintenance); Weather-related training cancellations; Limited simulator availability","LinkedIn, Email, Trade Shows, Industry Conferences, Local Partners",Q3-Q4 2025 (Budget planning cycle)
Europe,British Driving Academy,Driving School,UK,Medium,£30K-£200K,Owner,"Owner, Operations Manager",,"LinkedIn, Email, Trade Shows, Industry Conferences, Local Partners",Q3-Q4 2025 (Budget planning cycle)
Europe,Paris Simulateurs,Simulator Shopping,France,Medium,€40K-€250K,Director,"Director, Technical Lead",Competition pressure; Customer experience requirements; Equipment upgrade needs,"LinkedIn, Email, Trade Shows, Industry Conferences, Local Partners",Q3-Q4 2025 (Budget planning cycle)
Southeast Asia,Bangkok Driving Academy,Driving School Chain,Thailand,High,฿1.5M-฿10M,General Manager,"General Manager, Operations Manager","High operational costs (fuel, insurance, maintenance); Safety liability and insurance premiums; Pass rate improvement needs","Email, WeChat, Local Agents, Trade Shows, Facebook",Q4 2025-Q1 2026 (Growing market)
Southeast Asia,Singapore Sim Center,Simulator Shopping,Singapore,Medium,S$50K-S$300K,Owner,"Owner, Operations Manager",Competition pressure; Customer experience requirements; Equipment upgrade needs,"Email, WeChat, Local Agents, Trade Shows, Facebook",Q4 2025-Q1 2026 (Growing market)
Southeast Asia,Jakarta Driving School,Driving School,Indonesia,Medium,Rp 500M-Rp 5B,Owner,Owner,,"Email, WeChat, Local Agents, Trade Shows, Facebook",Q4 2025-Q1 2026 (Growing market)
Middle East,Dubai Driving Center,Driving School Chain,UAE,Very_High,AED 200K-AED 2M,Operations Director,"CEO, Operations Director, Procurement Manager","High operational costs (fuel, insurance, maintenance); Safety liability and insurance premiums; Pass rate improvement needs","Email, Phone, WhatsApp, LinkedIn, Local Partners",Q4 2025-Q2 2026 (Vision 2030 momentum)
Middle East,Saudi Flight Training,Flight Training,Saudi Arabia,Very_High,SAR 500K-SAR 5M,Training Director,"CEO, Training Director, Technical Director","Aircraft operating costs (fuel, maintenance); Weather-related training cancellations; Limited simulator availability","Email, Phone, WhatsApp, LinkedIn, Local Partners",Q4 2025-Q2 2026 (Vision 2030 momentum)
Middle East,Abu Dhabi Sim Center,Simulator Shopping,UAE,High,AED 100K-AED 500K,Owner,Owner,Competition pressure; Customer experience requirements; Equipment upgrade needs,"Email, Phone, WhatsApp, LinkedIn, Local Partners",Q4 2025-Q2 2026 (Vision 2030 momentum)
Oceania,Australian Driving Academy,Driving School Chain,Australia,High,A$100K-A$800K,Operations Manager,"Operations Manager, Owner, Compliance Officer","High operational costs (fuel, insurance, maintenance); Safety liability and insurance premiums; Pass rate improvement needs","LinkedIn, Email, Phone, Industry Events, Google Ads",Q3-Q4 2025 (Training season)
Oceania,NZ Flight Training,Flight Training,New Zealand,Medium,NZ$100K-NZ$500K,Chief Flying Instructor,"CFI, Owner, Operations Manager","Aircraft operating costs (fuel, maintenance); Weather-related training cancellations; Limited simulator availability","LinkedIn, Email, Phone, Industry Events, Google Ads",Q3-Q4 2025 (Training season)
